T24,CO2 emission estimates,,,
Region/Country/Area,,Year,Series,Value
703,Slovakia,2005,Emissions (thousand metric tons of carbon dioxide),"37,262"
703,Slovakia,2010,Emissions (thousand metric tons of carbon dioxide),"34,572"
703,Slovakia,2015,Emissions (thousand metric tons of carbon dioxide),"29,445"
703,Slovakia,2016,Emissions (thousand metric tons of carbon dioxide),"30,160"
703,Slovakia,2017,Emissions (thousand metric tons of carbon dioxide),"32,212"
703,Slovakia,2018,Emissions (thousand metric tons of carbon dioxide),"31,631"
703,Slovakia,1975,Emissions per capita (metric tons of carbon dioxide),9.1
703,Slovakia,1985,Emissions per capita (metric tons of carbon dioxide),10.5
703,Slovakia,2005,Emissions per capita (metric tons of carbon dioxide),6.9
703,Slovakia,2010,Emissions per capita (metric tons of carbon dioxide),6.4
703,Slovakia,2015,Emissions per capita (metric tons of carbon dioxide),5.4
703,Slovakia,2016,Emissions per capita (metric tons of carbon dioxide),5.6
703,Slovakia,2017,Emissions per capita (metric tons of carbon dioxide),5.9
703,Slovakia,2018,Emissions per capita (metric tons of carbon dioxide),5.8
705,Slovenia,2005,Emissions (thousand metric tons of carbon dioxide),"15,443"
705,Slovenia,2010,Emissions (thousand metric tons of carbon dioxide),"15,447"
705,Slovenia,2015,Emissions (thousand metric tons of carbon dioxide),"12,805"
705,Slovenia,2016,Emissions (thousand metric tons of carbon dioxide),"13,586"
705,Slovenia,2017,Emissions (thousand metric tons of carbon dioxide),"13,731"
705,Slovenia,2018,Emissions (thousand metric tons of carbon dioxide),"13,640"
705,Slovenia,2005,Emissions per capita (metric tons of carbon dioxide),7.7
705,Slovenia,2010,Emissions per capita (metric tons of carbon dioxide),7.5
705,Slovenia,2015,Emissions per capita (metric tons of carbon dioxide),6.2
705,Slovenia,2016,Emissions per capita (metric tons of carbon dioxide),6.6
705,Slovenia,2017,Emissions per capita (metric tons of carbon dioxide),6.6
705,Slovenia,2018,Emissions per capita (metric tons of carbon dioxide),6.6
710,South Africa,1975,Emissions (thousand metric tons of carbon dioxide),"202,999"
710,South Africa,1985,Emissions (thousand metric tons of carbon dioxide),"222,953"
710,South Africa,2005,Emissions (thousand metric tons of carbon dioxide),"372,303"
710,South Africa,2010,Emissions (thousand metric tons of carbon dioxide),"420,286"
710,South Africa,2015,Emissions (thousand metric tons of carbon dioxide),"419,549"
710,South Africa,2016,Emissions (thousand metric tons of carbon dioxide),"419,888"
710,South Africa,2017,Emissions (thousand metric tons of carbon dioxide),"429,862"
710,South Africa,2018,Emissions (thousand metric tons of carbon dioxide),"427,973"
710,South Africa,1975,Emissions per capita (metric tons of carbon dioxide),8.1
710,South Africa,1985,Emissions per capita (metric tons of carbon dioxide),6.8
710,South Africa,2005,Emissions per capita (metric tons of carbon dioxide),7.8
710,South Africa,2010,Emissions per capita (metric tons of carbon dioxide),8.2
710,South Africa,2015,Emissions per capita (metric tons of carbon dioxide),7.6
710,South Africa,2016,Emissions per capita (metric tons of carbon dioxide),7.5
710,South Africa,2017,Emissions per capita (metric tons of carbon dioxide),7.5
710,South Africa,2018,Emissions per capita (metric tons of carbon dioxide),7.4
728,South Sudan,2015,Emissions (thousand metric tons of carbon dioxide),"1,969"
728,South Sudan,2016,Emissions (thousand metric tons of carbon dioxide),"1,730"
728,South Sudan,2017,Emissions (thousand metric tons of carbon dioxide),"1,516"
728,South Sudan,2018,Emissions (thousand metric tons of carbon dioxide),"1,383"
728,South Sudan,2015,Emissions per capita (metric tons of carbon dioxide),0.2
728,South Sudan,2016,Emissions per capita (metric tons of carbon dioxide),0.2
728,South Sudan,2017,Emissions per capita (metric tons of carbon dioxide),0.1
728,South Sudan,2018,Emissions per capita (metric tons of carbon dioxide),0.1
724,Spain,1975,Emissions (thousand metric tons of carbon dioxide),"155,843"
724,Spain,1985,Emissions (thousand metric tons of carbon dioxide),"173,024"
724,Spain,2005,Emissions (thousand metric tons of carbon dioxide),"333,710"
724,Spain,2010,Emissions (thousand metric tons of carbon dioxide),"262,054"
724,Spain,2015,Emissions (thousand metric tons of carbon dioxide),"247,067"
724,Spain,2016,Emissions (thousand metric tons of carbon dioxide),"237,613"
724,Spain,2017,Emissions (thousand metric tons of carbon dioxide),"253,988"
724,Spain,2018,Emissions (thousand metric tons of carbon dioxide),"248,891"
724,Spain,1975,Emissions per capita (metric tons of carbon dioxide),4.3
724,Spain,1985,Emissions per capita (metric tons of carbon dioxide),4.4
724,Spain,2005,Emissions per capita (metric tons of carbon dioxide),7.6
724,Spain,2010,Emissions per capita (metric tons of carbon dioxide),5.6
724,Spain,2015,Emissions per capita (metric tons of carbon dioxide),5.3
724,Spain,2016,Emissions per capita (metric tons of carbon dioxide),5.1
724,Spain,2017,Emissions per capita (metric tons of carbon dioxide),5.5
724,Spain,2018,Emissions per capita (metric tons of carbon dioxide),5.3
144,Sri Lanka,1975,Emissions (thousand metric tons of carbon dioxide),"2,637"
144,Sri Lanka,1985,Emissions (thousand metric tons of carbon dioxide),"3,485"
144,Sri Lanka,2005,Emissions (thousand metric tons of carbon dioxide),"13,393"
144,Sri Lanka,2010,Emissions (thousand metric tons of carbon dioxide),"12,409"
144,Sri Lanka,2015,Emissions (thousand metric tons of carbon dioxide),"19,490"
144,Sri Lanka,2016,Emissions (thousand metric tons of carbon dioxide),"20,899"
144,Sri Lanka,2017,Emissions (thousand metric tons of carbon dioxide),"22,285"
144,Sri Lanka,2018,Emissions (thousand metric tons of carbon dioxide),"20,606"
144,Sri Lanka,1975,Emissions per capita (metric tons of carbon dioxide),0.2
144,Sri Lanka,1985,Emissions per capita (metric tons of carbon dioxide),0.2
144,Sri Lanka,2005,Emissions per capita (metric tons of carbon dioxide),0.7
144,Sri Lanka,2010,Emissions per capita (metric tons of carbon dioxide),0.6
144,Sri Lanka,2015,Emissions per capita (metric tons of carbon dioxide),0.9
144,Sri Lanka,2016,Emissions per capita (metric tons of carbon dioxide),1
144,Sri Lanka,2017,Emissions per capita (metric tons of carbon dioxide),1
144,Sri Lanka,2018,Emissions per capita (metric tons of carbon dioxide),1
729,Sudan,1975,Emissions (thousand metric tons of carbon dioxide),"3,213"
729,Sudan,1985,Emissions (thousand metric tons of carbon dioxide),"3,980"
729,Sudan,2005,Emissions (thousand metric tons of carbon dioxide),"9,928"
729,Sudan,2010,Emissions (thousand metric tons of carbon dioxide),"15,123"
729,Sudan,2015,Emissions (thousand metric tons of carbon dioxide),"16,361"
729,Sudan,2016,Emissions (thousand metric tons of carbon dioxide),"18,929"
729,Sudan,2017,Emissions (thousand metric tons of carbon dioxide),"18,784"
729,Sudan,2018,Emissions (thousand metric tons of carbon dioxide),"18,643"
729,Sudan,1975,Emissions per capita (metric tons of carbon dioxide),0.2
729,Sudan,1985,Emissions per capita (metric tons of carbon dioxide),0.2
729,Sudan,2005,Emissions per capita (metric tons of carbon dioxide),0.3
729,Sudan,2010,Emissions per capita (metric tons of carbon dioxide),0.3
729,Sudan,2015,Emissions per capita (metric tons of carbon dioxide),0.4
729,Sudan,2016,Emissions per capita (metric tons of carbon dioxide),0.5
729,Sudan,2017,Emissions per capita (metric tons of carbon dioxide),0.5
729,Sudan,2018,Emissions per capita (metric tons of carbon dioxide),0.4
740,Suriname,2005,Emissions (thousand metric tons of carbon dioxide),"1,660"
740,Suriname,2010,Emissions (thousand metric tons of carbon dioxide),"1,727"
740,Suriname,2015,Emissions (thousand metric tons of carbon dioxide),"2,696"
740,Suriname,2016,Emissions (thousand metric tons of carbon dioxide),"2,253"
740,Suriname,2017,Emissions (thousand metric tons of carbon dioxide),"2,076"
740,Suriname,2018,Emissions (thousand metric tons of carbon dioxide),"2,024"
740,Suriname,2005,Emissions per capita (metric tons of carbon dioxide),3.3
740,Suriname,2010,Emissions per capita (metric tons of carbon dioxide),3.3
740,Suriname,2015,Emissions per capita (metric tons of carbon dioxide),4.8
740,Suriname,2016,Emissions per capita (metric tons of carbon dioxide),4
740,Suriname,2017,Emissions per capita (metric tons of carbon dioxide),3.6
740,Suriname,2018,Emissions per capita (metric tons of carbon dioxide),3.5
752,Sweden,1975,Emissions (thousand metric tons of carbon dioxide),"79,041"
752,Sweden,1985,Emissions (thousand metric tons of carbon dioxide),"58,386"
752,Sweden,2005,Emissions (thousand metric tons of carbon dioxide),"48,891"
752,Sweden,2010,Emissions (thousand metric tons of carbon dioxide),"46,807"
752,Sweden,2015,Emissions (thousand metric tons of carbon dioxide),"37,665"
752,Sweden,2016,Emissions (thousand metric tons of carbon dioxide),"37,238"
752,Sweden,2017,Emissions (thousand metric tons of carbon dioxide),"36,846"
752,Sweden,2018,Emissions (thousand metric tons of carbon dioxide),"34,515"
752,Sweden,1975,Emissions per capita (metric tons of carbon dioxide),9.6
752,Sweden,1985,Emissions per capita (metric tons of carbon dioxide),7
752,Sweden,2005,Emissions per capita (metric tons of carbon dioxide),5.4
752,Sweden,2010,Emissions per capita (metric tons of carbon dioxide),5
752,Sweden,2015,Emissions per capita (metric tons of carbon dioxide),3.8
752,Sweden,2016,Emissions per capita (metric tons of carbon dioxide),3.8
752,Sweden,2017,Emissions per capita (metric tons of carbon dioxide),3.7
752,Sweden,2018,Emissions per capita (metric tons of carbon dioxide),3.4
756,Switzerland,1975,Emissions (thousand metric tons of carbon dioxide),"36,753"
756,Switzerland,1985,Emissions (thousand metric tons of carbon dioxide),"41,773"
756,Switzerland,2005,Emissions (thousand metric tons of carbon dioxide),"44,004"
756,Switzerland,2010,Emissions (thousand metric tons of carbon dioxide),"43,253"
756,Switzerland,2015,Emissions (thousand metric tons of carbon dioxide),"37,315"
756,Switzerland,2016,Emissions (thousand metric tons of carbon dioxide),"37,838"
756,Switzerland,2017,Emissions (thousand metric tons of carbon dioxide),"36,862"
756,Switzerland,2018,Emissions (thousand metric tons of carbon dioxide),"35,715"
756,Switzerland,1975,Emissions per capita (metric tons of carbon dioxide),5.7
756,Switzerland,1985,Emissions per capita (metric tons of carbon dioxide),6.4
756,Switzerland,2005,Emissions per capita (metric tons of carbon dioxide),5.9
756,Switzerland,2010,Emissions per capita (metric tons of carbon dioxide),5.5
756,Switzerland,2015,Emissions per capita (metric tons of carbon dioxide),4.5
756,Switzerland,2016,Emissions per capita (metric tons of carbon dioxide),4.5
756,Switzerland,2017,Emissions per capita (metric tons of carbon dioxide),4.4
756,Switzerland,2018,Emissions per capita (metric tons of carbon dioxide),4.2
760,Syrian Arab Republic,1975,Emissions (thousand metric tons of carbon dioxide),"8,261"
760,Syrian Arab Republic,1985,Emissions (thousand metric tons of carbon dioxide),"19,536"
760,Syrian Arab Republic,2005,Emissions (thousand metric tons of carbon dioxide),"53,466"
760,Syrian Arab Republic,2010,Emissions (thousand metric tons of carbon dioxide),"57,271"
760,Syrian Arab Republic,2015,Emissions (thousand metric tons of carbon dioxide),"23,741"
760,Syrian Arab Republic,2016,Emissions (thousand metric tons of carbon dioxide),"24,856"
760,Syrian Arab Republic,2017,Emissions (thousand metric tons of carbon dioxide),"26,773"
760,Syrian Arab Republic,2018,Emissions (thousand metric tons of carbon dioxide),"25,769"
760,Syrian Arab Republic,1975,Emissions per capita (metric tons of carbon dioxide),1.1
760,Syrian Arab Republic,1985,Emissions per capita (metric tons of carbon dioxide),1.8
760,Syrian Arab Republic,2005,Emissions per capita (metric tons of carbon dioxide),2.9
760,Syrian Arab Republic,2010,Emissions per capita (metric tons of carbon dioxide),2.7
760,Syrian Arab Republic,2015,Emissions per capita (metric tons of carbon dioxide),1.3
760,Syrian Arab Republic,2016,Emissions per capita (metric tons of carbon dioxide),1.4
760,Syrian Arab Republic,2017,Emissions per capita (metric tons of carbon dioxide),1.6
760,Syrian Arab Republic,2018,Emissions per capita (metric tons of carbon dioxide),1.5
762,Tajikistan,2005,Emissions (thousand metric tons of carbon dioxide),"2,347"
762,Tajikistan,2010,Emissions (thousand metric tons of carbon dioxide),"2,303"
762,Tajikistan,2015,Emissions (thousand metric tons of carbon dioxide),"4,212"
762,Tajikistan,2016,Emissions (thousand metric tons of carbon dioxide),"5,428"
762,Tajikistan,2017,Emissions (thousand metric tons of carbon dioxide),"5,844"
762,Tajikistan,2018,Emissions (thousand metric tons of carbon dioxide),"6,797"
762,Tajikistan,2005,Emissions per capita (metric tons of carbon dioxide),0.3
762,Tajikistan,2010,Emissions per capita (metric tons of carbon dioxide),0.3
762,Tajikistan,2015,Emissions per capita (metric tons of carbon dioxide),0.5
762,Tajikistan,2016,Emissions per capita (metric tons of carbon dioxide),0.6
762,Tajikistan,2017,Emissions per capita (metric tons of carbon dioxide),0.7
762,Tajikistan,2018,Emissions per capita (metric tons of carbon dioxide),0.7
764,Thailand,1975,Emissions (thousand metric tons of carbon dioxide),"21,152"
764,Thailand,1985,Emissions (thousand metric tons of carbon dioxide),"42,059"
764,Thailand,2005,Emissions (thousand metric tons of carbon dioxide),"200,204"
764,Thailand,2010,Emissions (thousand metric tons of carbon dioxide),"223,416"
764,Thailand,2015,Emissions (thousand metric tons of carbon dioxide),"247,812"
764,Thailand,2016,Emissions (thousand metric tons of carbon dioxide),"243,894"
764,Thailand,2017,Emissions (thousand metric tons of carbon dioxide),"243,826"
764,Thailand,2018,Emissions (thousand metric tons of carbon dioxide),"241,031"
764,Thailand,1975,Emissions per capita (metric tons of carbon dioxide),0.5
764,Thailand,1985,Emissions per capita (metric tons of carbon dioxide),0.8
764,Thailand,2005,Emissions per capita (metric tons of carbon dioxide),3.1
764,Thailand,2010,Emissions per capita (metric tons of carbon dioxide),3.3
764,Thailand,2015,Emissions per capita (metric tons of carbon dioxide),3.6
764,Thailand,2016,Emissions per capita (metric tons of carbon dioxide),3.5
764,Thailand,2017,Emissions per capita (metric tons of carbon dioxide),3.5
764,Thailand,2018,Emissions per capita (metric tons of carbon dioxide),3.5
807,North Macedonia,2005,Emissions (thousand metric tons of carbon dioxide),"8,917"
807,North Macedonia,2010,Emissions (thousand metric tons of carbon dioxide),"8,320"
807,North Macedonia,2015,Emissions (thousand metric tons of carbon dioxide),"7,134"
807,North Macedonia,2016,Emissions (thousand metric tons of carbon dioxide),"6,947"
807,North Macedonia,2017,Emissions (thousand metric tons of carbon dioxide),"7,420"
807,North Macedonia,2018,Emissions (thousand metric tons of carbon dioxide),"6,932"
807,North Macedonia,2005,Emissions per capita (metric tons of carbon dioxide),4.3
807,North Macedonia,2010,Emissions per capita (metric tons of carbon dioxide),4
807,North Macedonia,2015,Emissions per capita (metric tons of carbon dioxide),3.4
807,North Macedonia,2016,Emissions per capita (metric tons of carbon dioxide),3.3
807,North Macedonia,2017,Emissions per capita (metric tons of carbon dioxide),3.6
807,North Macedonia,2018,Emissions per capita (metric tons of carbon dioxide),3.3
768,Togo,1975,Emissions (thousand metric tons of carbon dioxide),317
768,Togo,1985,Emissions (thousand metric tons of carbon dioxide),297
768,Togo,2005,Emissions (thousand metric tons of carbon dioxide),963
768,Togo,2010,Emissions (thousand metric tons of carbon dioxide),"2,076"
768,Togo,2015,Emissions (thousand metric tons of carbon dioxide),"1,010"
768,Togo,2016,Emissions (thousand metric tons of carbon dioxide),"1,485"
768,Togo,2017,Emissions (thousand metric tons of carbon dioxide),"1,255"
768,Togo,2018,Emissions (thousand metric tons of carbon dioxide),"1,443"
768,Togo,1975,Emissions per capita (metric tons of carbon dioxide),0.1
768,Togo,1985,Emissions per capita (metric tons of carbon dioxide),0.1
768,Togo,2005,Emissions per capita (metric tons of carbon dioxide),0.2
768,Togo,2010,Emissions per capita (metric tons of carbon dioxide),0.3
768,Togo,2015,Emissions per capita (metric tons of carbon dioxide),0.1
768,Togo,2016,Emissions per capita (metric tons of carbon dioxide),0.2
768,Togo,2017,Emissions per capita (metric tons of carbon dioxide),0.2
768,Togo,2018,Emissions per capita (metric tons of carbon dioxide),0.2
780,Trinidad and Tobago,1975,Emissions (thousand metric tons of carbon dioxide),"4,575"
780,Trinidad and Tobago,1985,Emissions (thousand metric tons of carbon dioxide),"6,654"
780,Trinidad and Tobago,2005,Emissions (thousand metric tons of carbon dioxide),"17,034"
780,Trinidad and Tobago,2010,Emissions (thousand metric tons of carbon dioxide),"20,995"
780,Trinidad and Tobago,2015,Emissions (thousand metric tons of carbon dioxide),"20,569"
780,Trinidad and Tobago,2016,Emissions (thousand metric tons of carbon dioxide),"17,676"
780,Trinidad and Tobago,2017,Emissions (thousand metric tons of carbon dioxide),"17,624"
780,Trinidad and Tobago,2018,Emissions (thousand metric tons of carbon dioxide),"17,189"
780,Trinidad and Tobago,1975,Emissions per capita (metric tons of carbon dioxide),4.5
780,Trinidad and Tobago,1985,Emissions per capita (metric tons of carbon dioxide),5.7
780,Trinidad and Tobago,2005,Emissions per capita (metric tons of carbon dioxide),13.1
780,Trinidad and Tobago,2010,Emissions per capita (metric tons of carbon dioxide),15.8
780,Trinidad and Tobago,2015,Emissions per capita (metric tons of carbon dioxide),15
780,Trinidad and Tobago,2016,Emissions per capita (metric tons of carbon dioxide),12.8
780,Trinidad and Tobago,2017,Emissions per capita (metric tons of carbon dioxide),12.7
780,Trinidad and Tobago,2018,Emissions per capita (metric tons of carbon dioxide),12.4
788,Tunisia,1975,Emissions (thousand metric tons of carbon dioxide),"4,846"
788,Tunisia,1985,Emissions (thousand metric tons of carbon dioxide),"9,662"
788,Tunisia,2005,Emissions (thousand metric tons of carbon dioxide),"19,473"
788,Tunisia,2010,Emissions (thousand metric tons of carbon dioxide),"23,294"
788,Tunisia,2015,Emissions (thousand metric tons of carbon dioxide),"25,615"
788,Tunisia,2016,Emissions (thousand metric tons of carbon dioxide),"25,212"
788,Tunisia,2017,Emissions (thousand metric tons of carbon dioxide),"26,157"
788,Tunisia,2018,Emissions (thousand metric tons of carbon dioxide),"26,241"
788,Tunisia,1975,Emissions per capita (metric tons of carbon dioxide),0.9
788,Tunisia,1985,Emissions per capita (metric tons of carbon dioxide),1.3
788,Tunisia,2005,Emissions per capita (metric tons of carbon dioxide),1.9
788,Tunisia,2010,Emissions per capita (metric tons of carbon dioxide),2.2
788,Tunisia,2015,Emissions per capita (metric tons of carbon dioxide),2.3
788,Tunisia,2016,Emissions per capita (metric tons of carbon dioxide),2.2
788,Tunisia,2017,Emissions per capita (metric tons of carbon dioxide),2.3
788,Tunisia,2018,Emissions per capita (metric tons of carbon dioxide),2.3
792,Turkey,1975,Emissions (thousand metric tons of carbon dioxide),"59,631"
792,Turkey,1985,Emissions (thousand metric tons of carbon dioxide),"95,358"
792,Turkey,2005,Emissions (thousand metric tons of carbon dioxide),"215,883"
792,Turkey,2010,Emissions (thousand metric tons of carbon dioxide),"267,834"
792,Turkey,2015,Emissions (thousand metric tons of carbon dioxide),"318,974"
792,Turkey,2016,Emissions (thousand metric tons of carbon dioxide),"338,874"
792,Turkey,2017,Emissions (thousand metric tons of carbon dioxide),"378,631"
792,Turkey,2018,Emissions (thousand metric tons of carbon dioxide),"374,129"
792,Turkey,1975,Emissions per capita (metric tons of carbon dioxide),1.5
792,Turkey,1985,Emissions per capita (metric tons of carbon dioxide),1.9
792,Turkey,2005,Emissions per capita (metric tons of carbon dioxide),3.2
792,Turkey,2010,Emissions per capita (metric tons of carbon dioxide),3.7
792,Turkey,2015,Emissions per capita (metric tons of carbon dioxide),4.1
792,Turkey,2016,Emissions per capita (metric tons of carbon dioxide),4.3
792,Turkey,2017,Emissions per capita (metric tons of carbon dioxide),4.7
792,Turkey,2018,Emissions per capita (metric tons of carbon dioxide),4.6
795,Turkmenistan,2005,Emissions (thousand metric tons of carbon dioxide),"48,103"
795,Turkmenistan,2010,Emissions (thousand metric tons of carbon dioxide),"56,920"
795,Turkmenistan,2015,Emissions (thousand metric tons of carbon dioxide),"69,105"
795,Turkmenistan,2016,Emissions (thousand metric tons of carbon dioxide),"68,972"
795,Turkmenistan,2017,Emissions (thousand metric tons of carbon dioxide),"68,998"
795,Turkmenistan,2018,Emissions (thousand metric tons of carbon dioxide),"69,133"
795,Turkmenistan,2005,Emissions per capita (metric tons of carbon dioxide),10.1
795,Turkmenistan,2010,Emissions per capita (metric tons of carbon dioxide),11.2
795,Turkmenistan,2015,Emissions per capita (metric tons of carbon dioxide),12.4
795,Turkmenistan,2016,Emissions per capita (metric tons of carbon dioxide),12.2
795,Turkmenistan,2017,Emissions per capita (metric tons of carbon dioxide),12
795,Turkmenistan,2018,Emissions per capita (metric tons of carbon dioxide),11.8
804,Ukraine,2005,Emissions (thousand metric tons of carbon dioxide),"290,620"
804,Ukraine,2010,Emissions (thousand metric tons of carbon dioxide),"266,581"
804,Ukraine,2015,Emissions (thousand metric tons of carbon dioxide),"187,592"
804,Ukraine,2016,Emissions (thousand metric tons of carbon dioxide),"197,626"
804,Ukraine,2017,Emissions (thousand metric tons of carbon dioxide),"171,300"
804,Ukraine,2018,Emissions (thousand metric tons of carbon dioxide),"181,827"
804,Ukraine,2005,Emissions per capita (metric tons of carbon dioxide),6.2
804,Ukraine,2010,Emissions per capita (metric tons of carbon dioxide),5.8
804,Ukraine,2015,Emissions per capita (metric tons of carbon dioxide),4.2
804,Ukraine,2016,Emissions per capita (metric tons of carbon dioxide),4.4
804,Ukraine,2017,Emissions per capita (metric tons of carbon dioxide),3.8
804,Ukraine,2018,Emissions per capita (metric tons of carbon dioxide),4.1
784,United Arab Emirates,1975,Emissions (thousand metric tons of carbon dioxide),"4,919"
784,United Arab Emirates,1985,Emissions (thousand metric tons of carbon dioxide),"35,634"
784,United Arab Emirates,2005,Emissions (thousand metric tons of carbon dioxide),"111,205"
784,United Arab Emirates,2010,Emissions (thousand metric tons of carbon dioxide),"154,614"
784,United Arab Emirates,2015,Emissions (thousand metric tons of carbon dioxide),"186,576"
784,United Arab Emirates,2016,Emissions (thousand metric tons of carbon dioxide),"192,071"
784,United Arab Emirates,2017,Emissions (thousand metric tons of carbon dioxide),"200,602"
784,United Arab Emirates,2018,Emissions (thousand metric tons of carbon dioxide),"192,545"
784,United Arab Emirates,1975,Emissions per capita (metric tons of carbon dioxide),9
784,United Arab Emirates,1985,Emissions per capita (metric tons of carbon dioxide),26.1
784,United Arab Emirates,2005,Emissions per capita (metric tons of carbon dioxide),24.2
784,United Arab Emirates,2010,Emissions per capita (metric tons of carbon dioxide),18.1
784,United Arab Emirates,2015,Emissions per capita (metric tons of carbon dioxide),20.1
784,United Arab Emirates,2016,Emissions per capita (metric tons of carbon dioxide),20.5
784,United Arab Emirates,2017,Emissions per capita (metric tons of carbon dioxide),21.1
784,United Arab Emirates,2018,Emissions per capita (metric tons of carbon dioxide),20
826,United Kingdom,1975,Emissions (thousand metric tons of carbon dioxide),"576,042"
826,United Kingdom,1985,Emissions (thousand metric tons of carbon dioxide),"543,545"
826,United Kingdom,2005,Emissions (thousand metric tons of carbon dioxide),"531,649"
826,United Kingdom,2010,Emissions (thousand metric tons of carbon dioxide),"476,626"
826,United Kingdom,2015,Emissions (thousand metric tons of carbon dioxide),"394,022"
826,United Kingdom,2016,Emissions (thousand metric tons of carbon dioxide),"372,353"
826,United Kingdom,2017,Emissions (thousand metric tons of carbon dioxide),"359,944"
826,United Kingdom,2018,Emissions (thousand metric tons of carbon dioxide),"352,363"
826,United Kingdom,1975,Emissions per capita (metric tons of carbon dioxide),10.2
826,United Kingdom,1985,Emissions per capita (metric tons of carbon dioxide),9.6
826,United Kingdom,2005,Emissions per capita (metric tons of carbon dioxide),8.8
826,United Kingdom,2010,Emissions per capita (metric tons of carbon dioxide),7.6
826,United Kingdom,2015,Emissions per capita (metric tons of carbon dioxide),6.1
826,United Kingdom,2016,Emissions per capita (metric tons of carbon dioxide),5.7
826,United Kingdom,2017,Emissions per capita (metric tons of carbon dioxide),5.5
826,United Kingdom,2018,Emissions per capita (metric tons of carbon dioxide),5.3
834,United Rep. of Tanzania,1975,Emissions (thousand metric tons of carbon dioxide),"1,405"
834,United Rep. of Tanzania,1985,Emissions (thousand metric tons of carbon dioxide),"1,463"
834,United Rep. of Tanzania,2005,Emissions (thousand metric tons of carbon dioxide),"5,119"
834,United Rep. of Tanzania,2010,Emissions (thousand metric tons of carbon dioxide),"6,022"
834,United Rep. of Tanzania,2015,Emissions (thousand metric tons of carbon dioxide),"10,473"
834,United Rep. of Tanzania,2016,Emissions (thousand metric tons of carbon dioxide),"9,677"
834,United Rep. of Tanzania,2017,Emissions (thousand metric tons of carbon dioxide),"10,121"
834,United Rep. of Tanzania,2018,Emissions (thousand metric tons of carbon dioxide),"10,340"
834,United Rep. of Tanzania,1975,Emissions per capita (metric tons of carbon dioxide),0.1
834,United Rep. of Tanzania,1985,Emissions per capita (metric tons of carbon dioxide),0.1
834,United Rep. of Tanzania,2005,Emissions per capita (metric tons of carbon dioxide),0.1
834,United Rep. of Tanzania,2010,Emissions per capita (metric tons of carbon dioxide),0.1
834,United Rep. of Tanzania,2015,Emissions per capita (metric tons of carbon dioxide),0.2
834,United Rep. of Tanzania,2016,Emissions per capita (metric tons of carbon dioxide),0.2
834,United Rep. of Tanzania,2017,Emissions per capita (metric tons of carbon dioxide),0.2
834,United Rep. of Tanzania,2018,Emissions per capita (metric tons of carbon dioxide),0.2
840,United States of America,1975,Emissions (thousand metric tons of carbon dioxide),"4,355,839"
840,United States of America,1985,Emissions (thousand metric tons of carbon dioxide),"4,514,313"
840,United States of America,2005,Emissions (thousand metric tons of carbon dioxide),"5,703,220"
840,United States of America,2010,Emissions (thousand metric tons of carbon dioxide),"5,352,120"
840,United States of America,2015,Emissions (thousand metric tons of carbon dioxide),"4,928,611"
840,United States of America,2016,Emissions (thousand metric tons of carbon dioxide),"4,838,476"
840,United States of America,2017,Emissions (thousand metric tons of carbon dioxide),"4,761,302"
840,United States of America,2018,Emissions (thousand metric tons of carbon dioxide),"4,921,126"
840,United States of America,1975,Emissions per capita (metric tons of carbon dioxide),20.2
840,United States of America,1985,Emissions per capita (metric tons of carbon dioxide),18.9
840,United States of America,2005,Emissions per capita (metric tons of carbon dioxide),19.3
840,United States of America,2010,Emissions per capita (metric tons of carbon dioxide),17.3
840,United States of America,2015,Emissions per capita (metric tons of carbon dioxide),15.4
840,United States of America,2016,Emissions per capita (metric tons of carbon dioxide),15
840,United States of America,2017,Emissions per capita (metric tons of carbon dioxide),14.6
840,United States of America,2018,Emissions per capita (metric tons of carbon dioxide),15
858,Uruguay,1975,Emissions (thousand metric tons of carbon dioxide),"5,168"
858,Uruguay,1985,Emissions (thousand metric tons of carbon dioxide),"3,082"
858,Uruguay,2005,Emissions (thousand metric tons of carbon dioxide),"5,152"
858,Uruguay,2010,Emissions (thousand metric tons of carbon dioxide),"5,955"
858,Uruguay,2015,Emissions (thousand metric tons of carbon dioxide),"6,301"
858,Uruguay,2016,Emissions (thousand metric tons of carbon dioxide),"6,233"
858,Uruguay,2017,Emissions (thousand metric tons of carbon dioxide),"5,782"
858,Uruguay,2018,Emissions (thousand metric tons of carbon dioxide),"6,224"
858,Uruguay,1975,Emissions per capita (metric tons of carbon dioxide),1.8
858,Uruguay,1985,Emissions per capita (metric tons of carbon dioxide),1
858,Uruguay,2005,Emissions per capita (metric tons of carbon dioxide),1.6
858,Uruguay,2010,Emissions per capita (metric tons of carbon dioxide),1.8
858,Uruguay,2015,Emissions per capita (metric tons of carbon dioxide),1.8
858,Uruguay,2016,Emissions per capita (metric tons of carbon dioxide),1.8
858,Uruguay,2017,Emissions per capita (metric tons of carbon dioxide),1.7
858,Uruguay,2018,Emissions per capita (metric tons of carbon dioxide),1.8
860,Uzbekistan,2005,Emissions (thousand metric tons of carbon dioxide),"112,542"
860,Uzbekistan,2010,Emissions (thousand metric tons of carbon dioxide),"119,631"
860,Uzbekistan,2015,Emissions (thousand metric tons of carbon dioxide),"97,026"
860,Uzbekistan,2016,Emissions (thousand metric tons of carbon dioxide),"102,855"
860,Uzbekistan,2017,Emissions (thousand metric tons of carbon dioxide),"107,071"
